,La Fleur et al (Self),La Fleur et al (All),Urtecho et al (Self),Urtecho et al (All),Hossain et al (Self),Hossain et al (All),Yu et al (Self),Yu et al (All),Lagator et al 36N (Self),Lagator et al 36N (All),Lagator et al Pl (Self),Lagator et al Pl (All),Lagator et al Pr (Self),Lagator et al Pr (All),Anderson et al (Self),Anderson et al (All),De Novo Designs (Self),De Novo Designs (All)
0,0.000846277,0.115000181,0.000331183,0.027509589,0.007981256,0.138800099,0.001405167,0.21760726,0.00256143,0.127257422,0.004190894,0.153061479,0.001840904,0.066792354,0.009772141,0.506909192,0.026800189,0.026192728
1,0.000831757,0.059128329,0.000268349,0.037031859,0.00811307,0.117277704,0.001419701,0.402541995,0.002725232,0.124213226,0.003630357,0.155997291,0.001926829,0.101185597,0.012431744,0.488031596,0.02186415,0.038016073
2,0.000875513,0.111054011,0.000397069,0.027952302,0.00863771,0.166077465,0.00137396,0.306919545,0.002667747,0.114562772,0.004498691,0.134231254,0.00175152,0.0759563,0.005280956,0.388899118,0.02179176,0.030433828
3,0.0009001,0.0888936,0.000380918,0.035932031,0.008409685,0.173038498,0.001578853,0.395027965,0.002829133,0.138897568,0.003680849,0.19873783,0.001976834,0.066807158,0.014639446,0.341534376,0.016863087,0.026033156
4,0.000915513,0.059167784,0.000348431,0.044665173,0.008707826,0.151872575,0.001366903,0.328622848,0.002660164,0.119618632,0.005134685,0.156100005,0.001870154,0.063758761,0.015177565,0.290636897,0.010484497,0.034734197
5,0.000854255,0.117475294,0.000280981,0.031316735,0.00852325,0.142994925,0.001302016,0.378053814,0.002730988,0.093936257,0.00369685,0.209558666,0.001929147,0.04467338,0.009640953,0.209087506,0.011739469,0.034509473
6,0.000841088,0.117733724,0.000469419,0.024389954,0.009609373,0.116494462,0.002498146,0.273290902,0.002766185,0.104520559,0.003909252,0.152152255,0.001880562,0.067296542,0.015001173,0.326217324,0.008670649,0.035156094
7,0.000845256,0.079190634,0.000384421,0.031639773,0.00797372,0.182431728,0.002375212,0.319639981,0.002743101,0.128957585,0.003708331,0.146017268,0.00195282,0.082095914,0.013987374,0.566573262,0.011674682,0.029422209
8,0.001025585,0.104216874,0.000366187,0.038880315,0.008282922,0.155357122,0.001439799,0.321777821,0.002661183,0.108846985,0.00431375,0.157048658,0.00193048,0.069287218,0.016360132,0.481988609,0.01582283,0.037428256
9,0.000999762,0.10538853,0.000444077,0.034494407,0.008308073,0.204125986,0.001395955,0.384434342,0.002637545,0.109490462,0.003427804,0.174547225,0.001751996,0.083550312,0.007873315,0.568285942,0.013742848,0.037390042
